Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
450 Dallas Road,V8V 1B1,Victoria,"June 8, 2023",,Yes,54,,16,,Yes,"Alto,Dell,Caradonna,Kim,Thompson,Coleman,Gardiner,Loughton,Hammond",,
349 Kipling St & 1400 Fairfield Rd,"V8S 1E5",Victoria,"June 8, 2023",,No,9,,2,,Yes,"Alto,Dell,Caradonna,Kim,Thompson,Coleman,Loughton,Hammond",Gardiner,
225 Russell St,V9A 3X1,Victoria,"May 18, 2023",,Yes,40,40,0,,Yes,"Alto,Dell,Caradonna,Kim,Thompson,Coleman,Gardiner,Loughton,Hammond",,shelter to supportive housing
861 Kindersley Rd,"V9A 4N1",Esquimalt,"May 15, 2023",,No,5,,2,,Yes,"Cavens,Morrison,Rotchford,Armour,Desjardins",,Boardman and Helliwell absent
633 Belton Ave,"V9A 2Z5",Victoria,"May 11, 2023",,No,6,,1,,Yes,"Alto,Dell,Caradonna,Kim,Thompson,Loughton","Coleman,Gardiner,Hammond",
633 Belton Avenue,V9A 2Z5,Victoria,"May 11, 2023",,No,6,,1,Yes,Yes,"Alto,Caradonna,Kim,Dell,Thompson,Loughton","Hammond,Gardiner,Coleman",
817 Esquimalt Road,V9A 3M5,Esquimalt,"May 1, 2023",,Yes,12,,,,Yes,"Desjardins,Armour,Cavens,Boardman,Helliwell,Rotchford",,Morrison Absent
557 Simcoe St,V8V 1M2,Victoria,"April 27, 2023",,No,4,0,0,Yes,Yes,"Alto,Dell,Coleman,Caradonna,Gardiner,Kim,Loughton,Thompson,Hammond",,
1693-1699 Fort Street,V8R 1J2,Victoria,"April 13, 2023",,Yes,34,4,,,Yes,"Alto,Thompson,Dell,Loughton,Coleman,Gardiner,Caradonna,Kim",,Hammond absent
1045 Yates St,V8V 3M5,Victoria,"April 6, 2023",,Yes,526,80,0,,Yes,"Alto,Dell,Thompson,Loughton,Kim,Caradonna,Coleman,Gardiner",Hammond,Harris Green Phase 1
1114 & 1116 McClure St,V8V 3G2,Victoria,"March 9, 2023",,No,6,,2,,Yes,"Thompson,Dell,Loughton,Kim,Caradonna,Coleman,Gardiner,Alto",,Hammond recused
1025 Summit Ave,V8T 2P2,Victoria,"March 9, 2023",,No,1,0,0,,Yes,"Alto,Dell,Thompson,Loughton,Kim,Caradonna,Coleman,Gardiner,Hammond",,
